@relation FEATURE_RUNSTATUS_MaxSAT-2012-pms

@attribute instance_id string
@attribute repetition numeric
@attribute group_basics {ok,timeout,memout,presolved,crash,other,unknown}

@data
benchmarks/pms_crafted/frb/frb20-11-1.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb20-11-2.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb20-11-3.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb20-11-4.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb20-11-5.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb25-13-1.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb25-13-2.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb25-13-3.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb25-13-4.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb25-13-5.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb30-15-1.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb30-15-2.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb30-15-3.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb30-15-4.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb30-15-5.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb35-17-1.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb35-17-2.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb35-17-3.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb35-17-4.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb35-17-5.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb40-19-1.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb40-19-2.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb40-19-3.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb40-19-4.partial.wcnf,1,ok
benchmarks/pms_crafted/frb/frb40-19-5.partial.wcnf,1,ok
benchmarks/pms_crafted/job-shop/ft10-808-1090.wcnf,1,ok
benchmarks/pms_crafted/job-shop/la04-567-0696.wcnf,1,ok
benchmarks/pms_crafted/job-shop/orb08-894-1058.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-0-447-1.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-0-447-2.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-0-447-3.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-0-447-4.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-1-894-1.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-1-894-2.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-1-894-3.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-1-894-4.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-10-4917-1.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-10-4917-2.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-10-4917-3.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-10-4917-4.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-11-5364-1.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-11-5364-2.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-11-5364-3.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-11-5364-4.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-12-5811-1.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-12-5811-2.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-12-5811-3.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-12-5811-4.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-13-6258-1.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-13-6258-2.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-13-6258-3.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-13-6258-4.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-14-6705-1.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-14-6705-2.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-14-6705-3.clq.wcnf,1,ok
benchmarks/pms_crafted/maxclicque/random/max_clq_150-14-6705-4.clq.wcnf,1,ok
